# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 21 16:03:00 CET 2026
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2680, ebeam2 = 2680
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
22.3618 2.3861e+04 2.0013e+04 2.8550e+04 2.0111e+04 2.8351e+04 2.3000e+04 2.5212e+04 2.7455e+04 2.1069e+04 2.4792e+04 2.0111e+04 2.8351e+04 2.2621e+04
22.6131 2.2580e+04 1.8956e+04 2.6983e+04 1.9047e+04 2.6795e+04 2.1772e+04 2.3851e+04 2.5968e+04 1.9938e+04 2.3445e+04 1.9047e+04 2.6795e+04 2.1428e+04
22.8643 2.1378e+04 1.7964e+04 2.5515e+04 1.8050e+04 2.5338e+04 2.0619e+04 2.2575e+04 2.4574e+04 1.8879e+04 2.2183e+04 1.8050e+04 2.5338e+04 2.0308e+04
23.1156 2.0250e+04 1.7033e+04 2.4141e+04 1.7113e+04 2.3974e+04 1.9537e+04 2.1379e+04 2.3267e+04 1.7885e+04 2.1000e+04 1.7113e+04 2.3974e+04 1.9256e+04
23.3668 1.9192e+04 1.6157e+04 2.2854e+04 1.6232e+04 2.2696e+04 1.8522e+04 2.0256e+04 2.2041e+04 1.6952e+04 1.9891e+04 1.6232e+04 2.2696e+04 1.8268e+04
23.6181 1.8199e+04 1.5335e+04 2.1646e+04 1.5405e+04 2.1497e+04 1.7567e+04 1.9203e+04 2.0890e+04 1.6075e+04 1.8850e+04 1.5405e+04 2.1497e+04 1.7339e+04
23.8693 1.7265e+04 1.4561e+04 2.0513e+04 1.4627e+04 2.0372e+04 1.6670e+04 1.8213e+04 1.9809e+04 1.5251e+04 1.7873e+04 1.4627e+04 2.0372e+04 1.6465e+04
24.1206 1.6387e+04 1.3832e+04 1.9450e+04 1.3894e+04 1.9316e+04 1.5826e+04 1.7283e+04 1.8793e+04 1.4477e+04 1.6955e+04 1.3894e+04 1.9316e+04 1.5642e+04
24.3719 1.5561e+04 1.3146e+04 1.8450e+04 1.3204e+04 1.8323e+04 1.5032e+04 1.6408e+04 1.7838e+04 1.3748e+04 1.6092e+04 1.3204e+04 1.8323e+04 1.4867e+04
24.6231 1.4783e+04 1.2500e+04 1.7511e+04 1.2555e+04 1.7390e+04 1.4285e+04 1.5585e+04 1.6939e+04 1.3062e+04 1.5280e+04 1.2555e+04 1.7390e+04 1.4137e+04
